Company,Current_User_Base_Million,Finance_Interest_Penetration_Percent,Securities_Addressable_Users_Million,Potential_Revenue_Per_User_INR,TAM_Per_Peer_Crores
Physics Wallah,15.5,5,0.775,35000,0.0027125
BYJU'S,150.0,2,3.0,15000,0.0045
Unacademy,50.0,8,4.0,45000,0.018
upGrad,5.0,45,2.25,85000,0.019125
Vedantu,4.5,3,0.135,25000,0.0003375
Imarticus Learning,0.04,95,0.038000000000000006,125000,0.0004750000000000001
QuantInsti,0.13,98,0.1274,150000,0.0019110000000000004
Simplilearn,3.2,25,0.8,65000,0.0052
Great Learning,2.1,30,0.63,75000,0.004725
Emeritus,1.8,60,1.08,135000,0.01458
